"suitability_reasoning","product_url","why_this_gift","image_url","description","source_type","title","affiliate_url","admin_feedback_note","subscriber_user_id","feedback","suitability_confidence","admin_feedback_reason","price","delivery_speed","product_id","selection_score","gift_list_id","retailer_name","subscriber_action","matched_signals","ai_flag_concern","status","id","created_date","updated_date","created_by_id","is_sample"
"It appeals to her interest in both cocktails and luxury accessories.","https://www.fortnumandmason.com/fieldbar-x-fortnum-s-gin-trunk-eau-de-nil","Sarah Test enjoys social settings involving cocktails and high-end goods. This trunk combines sophisticated design with practical utility for her future travels and social events.","https://www.fortnumandmason.com/media/catalog/product//5/2/5241002_ayr26_fieldbar_fm_gin_trunk_edn_pdp_a.jpg?width=550&height=550&fit=bounds&canvas=550&550&quality=100","","legacy_unknown","Fieldbar x Fortnum's Gin Trunk, Eau de Nil","https://www.fortnumandmason.com/fieldbar-x-fortnum-s-gin-trunk-eau-de-nil","","6a82ee97f1da6e4af7ecc1e8","","3","","485.8","standard","6a5cf9a67b9e64322873d29b","42.7","6a8460550101159ddaf5ec36","fortnumandmason.com","","[""interest tag: Beauty & skincare"",""category perfume fits Pampering and self-care"",""persona: skincare, cocktails""]","The Fieldbar product description indicates it is manufactured from thermoplastic materials, violating the recipient's preference to avoid plastic.","standby","6a84605da1b9dd37571f3f66","2026-08-18T13:38:37.146000","2026-08-18T13:38:37.146000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"The focus on quality and ethics fits her professional life-stage.","https://reve-en-vert.com/product/brampton-trousers-in-ecru/","Sarah Test appreciates sustainable, high-quality fashion staples for her wardrobe. These trousers are ethically crafted from premium wool, ensuring longevity and style.","https://reve-en-vert.com/wp-content/uploads/2024/09/herd-knitwear-brampton-trousers-in-ecru-product-image-1-430x580.jpg","This sustainable knit trousers are ethically made in England from traceable, regenerative sheep wool. A versatile, sustainable staple for your wardrobe.","legacy_unknown","Brampton Trousers in Ecru","https://reve-en-vert.com/product/brampton-trousers-in-ecru/","","6a82ee97f1da6e4af7ecc1e8","","3","","316.79","standard","6a5cf9a67b9e64322873d263","20.4","6a8460550101159ddaf5ec36","reve-en-vert.com","","[""gift-type match: Pampering and self-care""]","","standby","6a84605d04eb8c04fcca2a08","2026-08-18T13:38:37.068000","2026-08-18T13:38:37.068000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"This supports her interests in travel and comfortable home aesthetics.","https://melintregwynt.co.uk/products/multicheck-throws-and-blankets?variant=53502611390841","Sarah Test leads an adventurous lifestyle and enjoys spending time outdoors. This high-quality wool throw offers a cozy, durable comfort for both home and travel excursions.","https://melintregwynt.co.uk/cdn/shop/files/Multicheck_Deilen_throw.jpg?crop=center&height=400&v=1731353648&width=400","Reviving a Melin Tregwynt classic, our new range of Multicheck blankets has reimagined this design in a collection of four rich, joyful colour combinations, designed to complement our double cloth range. Add a touch of nostalgic homeliness, whether cwtching up indoors or out and about. Throw 130 x 180 cm Single 180 x","legacy_unknown","Multicheck throws and blankets","https://melintregwynt.co.uk/products/multicheck-throws-and-blankets?variant=53502611390841","","6a82ee97f1da6e4af7ecc1e8","","3","","244.9","standard","6a5cf9a67b9e64322873d26a","55.2","6a8460550101159ddaf5ec36","Melin Tregwynt - Woven in Wales","","[""interest match: Travel & adventure"",""gift-type tag: Experiences"",""gift-type tag: Beautiful objects for the home"",""persona: cocktails""]","","standby","6a84605c6ea4a691b56b86f2","2026-08-18T13:38:36.954000","2026-08-18T13:38:36.954000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"The piece aligns with her focus on fashionable and quality wardrobe staples.","https://brahmaki.com/products/yamuna-ecovero-leela-dress","Sarah Test maintains a fashionable and active persona. This flowing dress is made from sustainable materials and designed for comfortable, stylish movement.","https://www.brahmaki.com/cdn/shop/files/5_f29420f0-c226-431b-ae39-bc09231cc536.jpg?v=1778214714","The Yamuna Leela Dress in silky EcoVero™ - fluid, sustainably crafted and softly radiant. Wide, flowing sleeves, a deep V-neck and a full sweeping skirt give it a freedom of movement that feels effortless and deeply natural, while dusty rose and warm amber tones carry the tenderness of a fading sunset. For a seaside di","legacy_unknown","Yamuna - EcoVero Leela Dress","https://brahmaki.com/products/yamuna-ecovero-leela-dress","","6a82ee97f1da6e4af7ecc1e8","","3","","349","standard","6a5cf9a67b9e64322873d2aa","28","6a8460550101159ddaf5ec36","brahmaki.com","","[""gift-type tag: Practical but high quality""]","","standby","6a84605cdac7da29ced805ab","2026-08-18T13:38:36.847000","2026-08-18T13:38:36.847000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"The versatility of this item is well-suited to her active lifestyle.","https://www.tusting.co.uk/products/hettie","Sarah Test lives a busy, adventurous life that requires versatile fashion choices. This leather bag provides a high-end, adaptable accessory that functions beautifully as both a clutch and a crossbody.","https://www.tusting.co.uk/cdn/shop/files/Tusting-Hettie-Cloud-FRONT.jpg?v=1773835325&width=1100","Hettie: bestselling mini leather phone bag, endlessly versatile, it transforms from tiny top-handle or clutch to an easy everyday crossbody. Made in England.","legacy_unknown","Hettie","https://www.tusting.co.uk/products/hettie","","6a82ee97f1da6e4af7ecc1e8","","4","","317","standard","6a5cf9a67b9e64322873d2d0","55.5","6a8460550101159ddaf5ec36","tusting.co.uk","","[""interest tag: Fashion & accessories"",""category bag fits Something to wear or carry"",""gift-type tag: Practical but high quality""]","","standby","6a84605c1e4944832ce00f04","2026-08-18T13:38:36.779000","2026-08-18T13:38:36.779000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"This fits her need for practical, high-quality fashion pieces.","https://www.tusting.co.uk/products/mini-holly","Sarah Test is an ambitious professional who values high-quality, functional accessories for her daily life. This leather handbag is crafted in England and offers a durable, stylish solution for formal or casual use.","https://www.tusting.co.uk/cdn/shop/files/Tusting-8-Mini-Holly-Taupe-1254.jpg?v=1772225593&width=1100","The bestselling Tusting Mini Holly leather top-handle handbag, 100% Made in England. A favourite choice for formal events, but also a great everyday crossbody","legacy_unknown","Mini Holly","https://www.tusting.co.uk/products/mini-holly","","6a82ee97f1da6e4af7ecc1e8","","4","","346","standard","6a5cf9a67b9e64322873d2d4","55.9","6a8460550101159ddaf5ec36","tusting.co.uk","","[""interest tag: Fashion & accessories"",""category bag fits Something to wear or carry"",""gift-type tag: Practical but high quality""]","","active","6a84605ca7f7b4722da3cbdc","2026-08-18T13:38:36.718000","2026-08-18T13:38:36.718000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"This suits her interest in art, culture, and high-end living.","https://thegoto.com/products/the-summer-book-stack","Sarah Test appreciates well-curated aesthetics for her home and lifestyle. This book stack adds a touch of sophisticated, travel-inspired decor to her space.","http://thegoto.com/cdn/shop/files/17_3a6677f8-598b-44a2-98bf-20970f283a58.webp?v=1782754620","Endless summer. This vibrant book stack brings a sun-soaked palette to any coffee table or shelf. Inspired by Mediterranean escapes and effortless coastal living, each title captures the beauty of beachside interiors, Riviera dining, and European summers—coming together in a collection that feels fresh, uplifting, and","legacy_unknown","The Summer Coffee Table Book Stack","https://thegoto.com/products/the-summer-book-stack","","6a82ee97f1da6e4af7ecc1e8","","4","","227","standard","6a5cf9a97b9e64322873d45d","118","6a8460550101159ddaf5ec36","thegoto.com","","[""interest tag: Cooking & food"",""category ring fits Fashion & accessories"",""interest tag: Beauty & skincare"",""gift-type tag: Things to eat or drink""]","","active","6a84605c16774c995c00a966","2026-08-18T13:38:36.652000","2026-08-18T13:38:36.652000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"The item is a strong match for her fashion-forward personality.","https://www.astridandmiyu.com/products/smoky-quartz-curved-piercing-stud-in-solid-gold","Sarah Test values stylish accessories that reflect her personal aesthetic. This solid gold stud provides a timeless and elegant addition to her jewellery collection.","https://cdn.shopify.com/s/files/1/0140/0245/4586/files/AM26-Q1-PS-LD-SMK-SG_1_2e2e6ba2-0e07-41a3-a819-eaaee19254e1.jpg?v=1780648205","In a curved design to follow the natural shape of your ear, this 14k gold piercing stud can be worn in your lobe, conch or helix piercings.","legacy_unknown","Smokey Quartz Cluster Piercing Stud in Solid Gold","https://www.astridandmiyu.com/products/smoky-quartz-curved-piercing-stud-in-solid-gold","","6a82ee97f1da6e4af7ecc1e8","","4","","215","standard","6a5cf9a97b9e64322873d47e","70.8","6a8460550101159ddaf5ec36","Shop Contemporary Jewellery to Stack & Style","","[""interest tag: Fashion & accessories"",""interest tag: Art & culture"",""gift-type tag: Beautiful objects for the home"",""gift-type match: Something to wear or carry""]","","active","6a84605c8f4d64d551c742fb","2026-08-18T13:38:36.456000","2026-08-18T13:38:36.456000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"This aligns directly with her interest in cooking, food, and social outings.","https://www.fortnumandmason.com/the-garden-party-hamper","Sarah Test enjoys gourmet experiences and hosting social gatherings. This curated hamper provides a sophisticated selection of items perfect for an elevated birthday celebration.","https://www.fortnumandmason.com/media/catalog/product/g/a/garden-party-hamper-2021.jpg","","legacy_unknown","The Garden Party Hamper","https://www.fortnumandmason.com/the-garden-party-hamper","","6a82ee97f1da6e4af7ecc1e8","","5","","487.02","standard","6a5cf9a67b9e64322873d28f","90.7","6a8460550101159ddaf5ec36","fortnumandmason.com","","[""interest tag: Cooking & food"",""interest tag: Gardening"",""interest tag: Art & culture"",""gift-type tag: Things to eat or drink""]","","active","6a84605c41015fef9f56f551","2026-08-18T13:38:36.369000","2026-08-18T13:38:36.369000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
"This matches her expressed interest in fashion and accessories.","https://www.astridandmiyu.com/products/smoky-quartz-curved-piercing-stud-in-solid-white-gold","Sarah Test has a keen interest in fashion and styling her everyday look. This solid gold piercing stud offers a high-end, durable accent that perfectly complements her professional and social lifestyle.","https://cdn.shopify.com/s/files/1/0140/0245/4586/files/AM26-Q1-PS-LD-SMK-SWG_1_11968fab-6144-48b1-9a23-5c8ddb56a3f5.jpg?v=1780649859","In a curved design to follow the natural shape of your ear, this 14k gold piercing stud can be worn in your lobe, conch or helix piercings.","legacy_unknown","Smokey Quartz Cluster Piercing Stud in Solid White Gold","https://www.astridandmiyu.com/products/smoky-quartz-curved-piercing-stud-in-solid-white-gold","","6a82ee97f1da6e4af7ecc1e8","","5","","215","standard","6a5cf9a97b9e64322873d47f","70.8","6a8460550101159ddaf5ec36","Shop Contemporary Jewellery to Stack & Style","","[""interest tag: Fashion & accessories"",""interest tag: Art & culture"",""gift-type tag: Beautiful objects for the home"",""gift-type match: Something to wear or carry""]","","active","6a84605ce2033a0cf4134d60","2026-08-18T13:38:36.301000","2026-08-18T13:38:36.301000","service_65c7d42f-d3fd-4718-8ffb-6dd41cef1b6c","false"
